county,yingWen,guoYu,chuYu
臺北市,"875,854","685,830","70,769"
新北市,"1,393,936","959,631","112,620"
桃園市,"718,260","529,749","63,132"
臺中市,"967,304","646,366","84,800"
臺南市,"786,471","339,702","41,075"
高雄市,"1,097,621","610,896","55,309"
新竹縣,"152,380","154,224","18,435"
苗栗縣,"147,034","164,345","15,222"
彰化縣,"436,336","291,835","35,060"
南投縣,"152,046","133,791","13,315"
雲林縣,"246,116","138,341","15,331"
嘉義縣,"197,342","98,810","11,138"
屏東縣,"317,676","179,353","14,021"
宜蘭縣,"173,657","90,010","10,739"
花蓮縣,"66,509","111,834","6,869"
臺東縣,"44,092","67,413","4,163"
澎湖縣,"27,410","20,911","2,583"
基隆市,"114,966","99,360","11,878"
新竹市,"144,274","102,725","14,103"
嘉義市,"99,265","56,269","6,204"
金門縣,"10,456","35,948","1,636"
連江縣,"1,226","4,776",188